timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1638729906563,29485,ADJUSTEDCOSINE,200,,Thread Group 1-7,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29485,0,1
1638729908225,29574,ADJUSTEDCOSINE,200,,Thread Group 1-4,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29574,0,0
1638729930960,29124,ADJUSTEDCOSINE,200,,Thread Group 1-5,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29124,0,0
1638729932544,27995,ADJUSTEDCOSINE,200,,Thread Group 1-3,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,27995,0,0
1638729932762,29133,ADJUSTEDCOSINE,200,,Thread Group 1-2,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29133,0,0
1638729932938,29269,ADJUSTEDCOSINE,200,,Thread Group 1-1,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29269,0,0
1638729934501,29108,ADJUSTEDCOSINE,200,,Thread Group 1-10,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29108,0,0
1638729934842,28785,ADJUSTEDCOSINE,200,,Thread Group 1-8,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,28785,0,0
1638729934252,29608,ADJUSTEDCOSINE,200,,Thread Group 1-9,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29608,0,0
1638729935328,28957,ADJUSTEDCOSINE,200,,Thread Group 1-6,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,28957,0,0
1638729936049,29411,ADJUSTEDCOSINE,200,,Thread Group 1-7,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29411,0,0
1638729937799,28487,ADJUSTEDCOSINE,200,,Thread Group 1-4,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,28487,0,0
1638729960086,28962,ADJUSTEDCOSINE,200,,Thread Group 1-5,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,28962,0,0
1638729960539,29042,ADJUSTEDCOSINE,200,,Thread Group 1-3,text,true,,228,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29042,0,0
1638729961896,28679,ADJUSTEDCOSINE,200,,Thread Group 1-2,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,28679,0,0
1638729962207,29259,ADJUSTEDCOSINE,200,,Thread Group 1-1,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29259,0,0
1638729963609,29458,ADJUSTEDCOSINE,200,,Thread Group 1-10,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29458,0,0
1638729963627,30116,ADJUSTEDCOSINE,200,,Thread Group 1-8,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,30116,0,0
1638729963860,29906,ADJUSTEDCOSINE,200,,Thread Group 1-9,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29906,0,0
1638729964285,29721,ADJUSTEDCOSINE,200,,Thread Group 1-6,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29721,0,0
1638729965461,30775,ADJUSTEDCOSINE,200,,Thread Group 1-7,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,30775,0,0
1638729966286,30380,ADJUSTEDCOSINE,200,,Thread Group 1-4,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,30380,0,0
